Set parameter WLSAccessID
Set parameter WLSSecret
Set parameter LicenseID to value 2620426
Academic license 2620426 - for non-commercial use only - registered to so___@uca.fr
    Model Name               | Minimum |   Median  |   Mean   | Maximum
istanbul-no-cutoff           |  1.1e+01 |  1.3e+01 |  1.3e+01 |  1.5e+01
k1mushroom                   |  3.5e+01 |  4.3e+01 |    5e+01 |  1.4e+02
lectsched-5-obj              |  4.4e+01 |  4.8e+01 |  4.8e+01 |  5.1e+01
leo1                         | -1.5e+07 |  1.4e+07 |  9.9e+07 |  7.4e+08
leo2                         | -1.5e+07 |  2.2e+07 |  1.2e+08 |  8.2e+08
lotsize                      |  4.9e+04 |    6e+04 |    6e+04 |  7.4e+04
map10                        |      8.2 |      8.8 |      8.8 |      9.2
map16715-04                  |      4.0 |      4.3 |      4.3 |      4.8
markshare_4_0                |     0.88 |  1.1e+02 |  1.5e+02 |    9e+02
markshare2                   |      1.9 |    2e+02 |  2.7e+02 |  1.2e+03
mas74                        | -2.3e+03 |  5.8e+08 |  3.3e+10 |    3e+11
mc11                         |  1.5e+03 |  1.9e+03 |  1.9e+03 |  2.2e+03
mcsched                      | -1.2e+04 |  5.8e+02 |  2.8e+03 |  2.9e+04
mik-250-20-75-4              |  8.8e+01 |  1.9e+02 |  1.9e+02 |  2.8e+02
milo-v12-6-r2-40-1           |  1.5e+02 |  2.8e+02 |  2.8e+02 |  3.7e+02
momentum1                    |      9.8 |  1.3e+01 |  1.3e+01 |  1.5e+01
mushroom-best                |      9.1 |  5.7e+01 |  7.4e+01 |    3e+02
mzzv11                       |  1.1e+01 |  1.9e+01 |    2e+01 |  2.9e+01
mzzv42z                      |      9.7 |  1.6e+01 |  1.6e+01 |  2.3e+01
n2seq36q                     |      3.9 |      4.0 |      4.0 |      4.2
n3div36                      |  3.4e+01 |  3.5e+01 |  3.5e+01 |  3.5e+01
n5-3                         |  3.2e+05 |  4.6e+05 |  4.6e+05 |  5.9e+05
neos-1122047                 | -1.7e+04 |  3.7e+03 |  4.1e+03 |  2.6e+04
neos-1171448                 |  1.6e+01 |  1.7e+01 |  1.7e+01 |  1.8e+01
neos-1171737                 |      9.4 |    1e+01 |    1e+01 |  1.2e+01
neos-1354092                 | -2.2e+01 |  2.1e+01 |  2.2e+01 |    6e+01
neos-1445765                 |      8.7 |      9.1 |      9.0 |      9.6
neos-1456979                 |     -8.2 |  1.3e+02 |  1.3e+02 |  2.6e+02
neos-1582420                 |      5.6 |      6.0 |      6.0 |      6.3
neos-2657525-crna            |  1.3e+02 |  1.4e+03 |  1.4e+03 |  2.9e+03
neos-2978193-inde            |      5.1 |      5.3 |      5.3 |      5.5
neos-2987310-joes            |      2.2 |      2.8 |      2.8 |      3.5
neos-3004026-krka            |  3.2e+01 |  3.3e+01 |  3.3e+01 |  3.5e+01
neos-3024952-loue            |  6.5e+02 |  8.6e+02 |  8.6e+02 |  1.2e+03
neos-3083819-nubu            |      2.8 |      3.5 |      3.5 |      4.3
neos-3216931-puriri          |      2.8 |      4.3 |      4.3 |      5.6
neos-3381206-awhea           |  2.2e+01 |  2.5e+01 |  2.5e+01 |  2.8e+01
neos-3555904-turama          |      9.8 |    1e+01 |    1e+01 |  1.1e+01
neos-3627168-kasai           | -4.9e+04 |  2.2e+04 |  2.3e+04 |  1.1e+05
neos-3988577-wolgan          |  2.3e+01 |  2.4e+01 |  2.4e+01 |  2.6e+01
neos-4300652-rahue           |  2.1e+01 |  2.2e+01 |  2.2e+01 |  2.2e+01
neos-4387871-tavua           |    9e+01 |  9.9e+01 |  9.9e+01 |  1.1e+02
neos-4647030-tutaki          |  1.2e+03 |  1.3e+03 |  1.3e+03 |  1.4e+03
neos-4738912-atrato          |  1.7e+02 |  2.6e+02 |  2.6e+02 |  3.8e+02
neos-4954672-berkel          |    1e+02 |  2.2e+02 |  2.2e+02 |  3.6e+02
neos-5188808-nattai          |    1e+01 |  1.1e+01 |  1.1e+01 |  1.2e+01
neos-631710                  |      2.1 |      2.2 |      2.2 |      2.4
neos-662469                  |      4.1 |      4.7 |      4.7 |      5.3
neos-787933                  |  1.9e+02 |  1.9e+02 |  1.9e+02 |  1.9e+02
neos-827175                  |  1.9e+01 |  2.3e+01 |  2.3e+01 |  2.9e+01
neos-848589                  |  1.9e+02 |  1.9e+02 |  1.9e+02 |  1.9e+02
neos-860300                  |      0.3 |     0.48 |     0.65 |      2.1
neos-873061                  |  1.4e+02 |  1.4e+02 |  1.4e+02 |  1.4e+02
neos-950242                  |      6.1 |      8.0 |      8.1 |    1e+01
neos-957323                  |      2.5 |      2.6 |      2.6 |      2.7
neos-960392                  |      2.7 |      2.9 |      2.9 |      3.1
neos17                       |      6.8 |      8.3 |      8.3 |    1e+01
neos5                        |      1.9 |      3.2 |      3.2 |      4.5
neos8                        |      1.7 |  1.1e+01 |  1.1e+01 |  3.5e+01
neos859080                   |      5.3 |    1e+01 |    1e+01 |  1.6e+01
net12                        |  5.3e+01 |  5.4e+01 |  5.4e+01 |  5.6e+01
nexp-150-20-8-5              |  1.5e+03 |  1.7e+03 |  1.7e+03 |  1.9e+03
ns1208400                    |      3.0 |      3.4 |      3.4 |      3.7
ns1644855                    |  1.5e+03 |  1.6e+03 |  1.6e+03 |  1.7e+03
ns1830653                    |      2.2 |      2.9 |      2.9 |      4.0
ns1952667                    |  1.3e+01 |  1.4e+01 |  1.4e+01 |  1.5e+01
nursesched-medium-hint03     |  1.9e+01 |    2e+01 |    2e+01 |  2.1e+01
nursesched-sprint02          |      6.6 |      7.6 |      7.6 |      9.3
nw04                         |     0.05 |    0.071 |    0.072 |      0.1
opm2-z10-s4                  |      3.5 |      4.6 |      4.6 |      5.7
p200x1188c                   |  2.9e+04 |  3.4e+04 |  3.4e+04 |  3.8e+04
peg-solitaire-a3             |      1.5 |      2.6 |      2.6 |      3.7
pg                           |  2.2e+02 |  3.8e+02 |  3.9e+02 |  6.1e+02
pg5_34                       |  1.7e+01 |  1.8e+01 |  1.8e+01 |  1.9e+01
piperout-08                  | -2.9e+03 |  2.3e+03 |  8.7e+03 |  5.4e+04
piperout-27                  | -2.4e+02 |  1.2e+01 |  3.8e+02 |  3.6e+03
proteindesign121hz512p9      |     -9.2 |  2.3e+02 |  2.3e+02 |  5.8e+02
proteindesign122trx11p8      | -1.6e+01 |  1.5e+02 |  1.5e+02 |    4e+02
qap10                        |     0.61 |     0.67 |     0.67 |     0.73
radiationm18-12-05           | -2.1e+02 |  1.8e+01 |  1.1e+03 |    1e+04
radiationm40-10-02           | -9.7e+02 |  5.7e+02 |  1.3e+04 |    1e+05
ran14x18-disj-8              |  1.8e+01 |  2.4e+01 |  2.4e+01 |  2.8e+01
reblock115                   |      2.4 |      3.7 |      3.8 |      5.6
rocI-4-11                    |      8.8 |  3.6e+03 |  5.5e+04 |  4.7e+05
rocII-5-11                   |      1.1 |      1.4 |      1.4 |      1.7
rococoB10-011000             | -1.7e+02 |    1e+03 |  1.4e+03 |  7.6e+03
rococoC10-001000             |    2e+04 |  4.3e+04 |  4.3e+04 |    1e+05
roi2alpha3n4                 |     0.71 |     0.83 |     0.83 |     0.97
roi5alpha10n8                |     0.68 |      0.7 |      0.7 |     0.74
s100                         |     0.28 |     0.36 |     0.36 |     0.43
s250r10                      |      1.0 |  3.2e+01 |  3.9e+01 |  1.6e+02
satellites2-40               |  4.2e+05 |  4.9e+05 |  4.8e+05 |  5.7e+05
satellites2-60-fs            |    4e+05 |  4.8e+05 |  4.8e+05 |  5.7e+05
seymour                      |  1.1e+01 |  1.3e+01 |  1.3e+01 |  1.5e+01
seymour1                     |    1e+01 |  1.3e+01 |  1.3e+01 |  1.4e+01
sing326                      |  1.3e+03 |  1.3e+03 |  1.3e+03 |  1.4e+03
sing44                       |  1.3e+03 |  1.3e+03 |  1.3e+03 |  1.4e+03
sorrell3                     |      5.6 |      6.4 |      6.4 |      7.2
sp150x300d                   |  7.6e+02 |  1.2e+03 |  1.2e+03 |  1.8e+03
sp97ar                       |  1.5e+01 |  1.5e+01 |  1.5e+01 |  1.6e+01
sp98ar                       |  1.2e+01 |  1.2e+01 |  1.2e+01 |  1.2e+01
splice1k1                    |    2e+01 |  2.7e+01 |  3.1e+01 |  8.6e+01
supportcase12                |  6.6e+01 |  6.8e+01 |  6.8e+01 |    7e+01
supportcase18                |      2.7 |      2.9 |      2.9 |      3.1
supportcase33                | -5.5e+01 |  1.3e+01 |  1.3e+01 |  7.3e+01
supportcase6                 |     0.17 |     0.27 |     0.27 |     0.48
tbfp-network                 |     0.26 |     0.27 |     0.27 |     0.28
thor50dday                   |  3.2e+03 |  3.2e+03 |  3.2e+03 |  3.3e+03
timtab1                      |  9.9e+01 |  1.8e+02 |  1.8e+02 |  2.6e+02
tr12-30                      |  2.1e+03 |  3.6e+03 |  3.6e+03 |  5.3e+03
traininstance2               | -2.1e+04 |  1.8e+05 |  1.9e+05 |  6.8e+05
traininstance6               | -1.7e+04 |  1.5e+05 |  1.6e+05 |  5.5e+05
trento1                      |  2.3e+03 |  1.5e+04 |  1.6e+04 |  3.5e+04
uct-subprob                  |      9.6 |  1.1e+01 |  1.1e+01 |  1.2e+01
unitcal_7                    | -1.5e+03 |  5.8e+03 |  5.9e+03 |  1.2e+04
wachplan                     |      4.5 |      5.3 |      5.4 |      6.2
done. now printing all results so far
